Concelho,Nome_Entidade,Frequência [MHz],PAR [W],Raio [Km],Morada_Estação,Local_Estação,PS,PI,AF,Cobertura,Microcobertura,Desc_Operador,Latitude PlaGE,Longitude PlaGE,Latitude Corrigida,Longitude Corrigida,Coord Corrig.,Distrito,Concelho,Freguesia
Santa Cruz das Flores,"Rádio e Televisão de Portugal, S.A.",     95.600000,1000.000,39.5918340867651,ILHA DAS FLORES,MORRO ALTO,,,,Nacional,Não,Rede 3 de Cobertura Nacional,39.463611111,-31.220555556,39.463611111,-31.220555556,Não,Açores Flores,Santa Cruz das Flores,Santa Cruz das Flores
Santa Cruz das Flores,"Ecos das Flores - Actividades de Rádio e Televisão, Lda.",    104.500000,500.000,33.2926313568806,EDIFÍCO SITURFLOR - VARIANTE ESTRADA REGIONAL,SANTA CRUZ DAS FLORES,,,,Local,Não,,39.448333333,-31.131388889,39.448333333,-31.131388889,Não,Açores Flores,Santa Cruz das Flores,Santa Cruz das Flores
Santa Maria da Feira,"Águia Azul - Cooperativa de Rádio e Jornalismo, C.R.L.",     92.000000,1000.000,39.5918340867651,SOUTO REDONDO,SOUTO REDONDO,SINTONIA,8000000.000,N,Local,Não,,40.951111111,-8.518333333,40.951111111,-8.518333333,Sim,Aveiro,Santa Maria da Feira,São João de Ver
Santa Maria da Feira,"Rádio Clube da Feira - Emissor de Terras de Santa Maria, C.R.L.",    104.700000,1000.000,39.5918340867651,LG SOUTO REDONDO,SÃO JOÃO DE VER,RCFEIRA,8054.000,N,Local,Não,,40.951388889,-8.518611111,40.951388889,-8.518611111,Sim,Aveiro,Santa Maria da Feira,São João de Ver
Santana,"Verbum Media - Comunicação, Lda.",     92.500000,500.000,33.2926313568806,SANTANA,PICO DO ARIEIRO,SANTANA,8461.000,S,Local,Não,,32.736388889,-16.925833333,32.736111111,-16.925833333,Sim,Madeira,Santana,São Roque do Faial
Santarém,"Rádio e Televisão de Portugal, S.A.",     98.800000,400.000,31.4862267474058,Santarém,SANTARÉM,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.234166667,-8.676388889,39.234166667,-8.676388889,Não,Santarém,Santarém,"Marvila, Ribeira Santarém, S.Salvador, S.Nicolau"
Santarém,"R2000 - Comunicação Social, Lda.",     97.700000,2000.000,47.0828907919883,CASAIS MARIA DELFINA - CABEÇA GORDA,Tremês,SMOOTHSA,8034.000,N,Local,Não,,39.335555556,-8.746666667,39.335555556,-8.746666667,Não,Santarém,Santarém,Azoia de Cima e Tremês
Santarém,"Rádio Pernes, Lda.",    101.700000,2000.000,47.0828907919883,DEPÓSITO DE ÁGUA,CHÃ DE BAIXO,RECORD S,8424.000,S,Local,Não,,39.378611111,-8.681944444,39.378611111,-8.681944444,Não,Santarém,Santarém,Pernes
Santarém,"Rádio Pernes, Lda.",    105.500000,50.000,18.721822436302,PTA PEDRO ESCURO 10 3 DTO,MARVILA SANTAREM,RECORD S,8424.000,S,Local,Sim,,39.230555556,-8.685277778,39.230555556,-8.685277778,Não,Santarém,Santarém,"Marvila, Ribeira Santarém, S.Salvador, S.Nicolau"
Santiago do Cacém,"Antena Miróbriga - Cooperativa de Serviços, C.R.L.",    102.700000,2000.000,47.0828907919883,ALDEIA DE CHÃOS,SANTIAGO DO CACÉM,RADIOM24,8045.000,N,Local,Não,,37.988611111,-8.692222222,37.988611111,-8.692222222,Não,Setúbal,Santiago do Cacém,"Santiago do Cacém, S.Cruz e S.Bartolomeu da Serra"
Santo Tirso,"Nova Rádio Voz de Santo Tirso, Lda.",    107.400000,400.000,31.4862267474058,ASSUNÇÃO,Monte Córdova,RVSTIRSO,8010.000,N,Local,Não,,41.326944444,-8.446666667,41.324722222,-8.443055556,Sim,Porto,Santo Tirso,Monte Córdova
Santo Tirso,"Editave Multimédia, Lda.",    105.000000,2000.000,47.0828907919883,MONTE CORDOVA,Monte Córdova,FAMA,8408.000,S,Local,Não,,41.324722222,-8.443333333,41.415277778,-8.404722222,Sim,Porto,Santo Tirso,Monte Córdova
São João da Pesqueira,"Lamegráfica - Soc. Comercial e Editorial, Lda.",     99.400000,500.000,33.2926313568806,SENHORA DO MONTE,SÃO JOÃO DA PESQUEIRA,RVD,80FB,N,Local,Não,,41.164722222,-7.437222222,41.164444444,-7.436944444,Sim,Viseu,São João da Pesqueira,Soutelo do Douro
São Pedro do Sul,"Rádio e Televisão de Portugal, S.A.",    104.500000,630.957,35.2862544560045,ALTO DA GRAVIA - MANHOUCE,GRAVIA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.787222222,-8.198888889,40.787222222,-8.198888889,Sim,Viseu,São Pedro do Sul,Valadares
São Pedro do Sul,"Rádio e Televisão de Portugal, S.A.",    106.800000,630.957,35.2862544560045,Alto da Gravia (Manhouce),Gravia,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.787222222,-8.198888889,40.787222222,-8.198888889,Sim,Viseu,São Pedro do Sul,Valadares
São Pedro do Sul,"Rádio e Televisão de Portugal, S.A.",    107.900000,630.957,35.2862544560045,Alto da Gravia (Manhouce),Gravia,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,40.787222222,-8.198888889,40.787222222,-8.198888889,Sim,Viseu,São Pedro do Sul,Valadares
São Pedro do Sul,"Rádio Clube de Lafões, C.R.L.",     93.000000,1000.000,39.5918340867651,SÃO MACÁRIO,COVAS DO RIO,R.LAFOES,8493.000,S,Local,Não,,40.8775,-8.059722222,40.8775,-8.059722222,Não,Viseu,São Pedro do Sul,São Martinho das Moitas e Covas do Rio
São Pedro do Sul,"Rádio Clube de Lafões, C.R.L.",     95.400000,50.000,18.721822436302,SERRA DA GRAVIA,BUSTARENGA,R.LAFOES,8493.000,S,Local,Sim,,40.7875,-8.199444444,40.7875,-8.199444444,Não,Viseu,São Pedro do Sul,Valadares
São Pedro do Sul,"Rádio Clube de Lafões, C.R.L.",     98.200000,50.000,18.721822436302,LARGO FEIRA NOVA,SÃO PEDRO DO SUL,R.LAFOES,8493.000,S,Local,Sim,,40.762777778,-8.064722222,40.762777778,-8.064722222,Não,Viseu,São Pedro do Sul,"São Pedro do Sul, Várzea e Baiões"
São Roque do Pico,"Rádio Cais, CRL",    106.100000,500.000,33.2926313568806,CABEÇO DA QUEIMADA,VIGIA DA BALEIA,R CAIS,806C,N,Local,Não,,38.542777778,-28.363888889,38.542777778,-28.363888889,Não,Açores Pico,São Roque do Pico,Santo António
São Roque do Pico,"Cooperativa de Difusão Cultural Jorgense, CRL.",     90.000000,50.000,18.721822436302,TREPOSTA - ILHA DO PICO,PRAINHA DO PICO,R.LUMENA,8406.000,S,Local,Sim,,38.488055556,-28.250277778,38.639444444,-28.071111111,Não,Açores Pico,São Roque do Pico,Prainha
São Vicente,Associação dos Bombeiros Voluntários de São Vicente e Porto Moniz,     89.200000,500.000,33.2926313568806,BOCA DA ENCUMEADA,ENCUMEADA,R.S.V.,849F,S,Local,Não,,32.755,-17.016388889,32.753333333,-17.017777778,Sim,Madeira,São Vicente,São Vicente
São Vicente,Associação dos Bombeiros Voluntários de São Vicente e Porto Moniz,     99.200000,50.000,18.721822436302,CABEÇO DAS VOLTAS,Fajã Grande,R.S.V.,849F,S,Local,Sim,,32.8125,-16.951944444,32.812222222,-16.951666667,Sim,Madeira,São Vicente,Boa Ventura
São Vicente,"Verbum Media - Comunicação, Lda.",    105.500000,50.000,18.721822436302,SANTANA,CORTADO,SANTANA,8461.000,S,Local,Sim,,32.812222222,-16.951666667,32.812222222,-16.951666667,Sim,Madeira,São Vicente,Boa Ventura
Sátão,Centro de Formação Assistência e Desenvolvimento,     89.900000,1000.000,39.5918340867651,FACHO - MIOMA,MEÃ,ALIVE FM,801F,N,Local,Não,,40.755833333,-7.711666667,40.758611111,-7.7175,Sim,Viseu,Sátão,Mioma
Seia,"Rede Regional de Radiodifusão RCI, Lda.",     93.600000,500.000,33.2926313568806,SEIA,ALDEIA DA SERRA,RCS,80BF,N,Local,Não,,40.416944444,-7.684166667,40.417222222,-7.684444444,Sim,Guarda,Seia,"Seia, São Romão e Lapa dos Dinheiros"
Seixal,"RÁDIO BAÍA, Sociedade de Radiodifusão, Lda.",     98.700000,1499.996,43.8155377411907,RUA DOS LÍRIOS,Corroios,OBSRVDOR,8019.000,N,Local,Não,,38.594166667,-9.168888889,38.594166667,-9.168888889,Não,Setúbal,Seixal,Corroios
Seixal,"RS - Rádio do Seixal, Lda.",     87.600000,1499.996,43.8155377411907,VALADARES,CORROIOS,RDS,8042.000,N,Local,Não,,38.611111111,-9.157777778,38.611111111,-9.157777778,Não,Setúbal,Seixal,Corroios
Sertã,Associação Cultural e Recreativa Rádio Condestável,     91.300000,500.000,33.2926313568806,CABEÇO DA RAINHA,ERMIDA,CONDSTVL,84A6,S,Local,Não,,39.846111111,-7.928611111,39.846111111,-7.928611111,Não,Castelo Branco,Sertã,Ermida e Figueiredo
Sertã,Associação Cultural e Recreativa Rádio Condestável,     97.500000,50.000,18.721822436302,CERNACHE DO BONJARDIM,CASAL DA MADALENA,CONDSTVL,84A6,S,Local,Sim,,39.7975,-8.226666667,39.799166667,-8.2275,Não,Castelo Branco,Sertã,"Cernache do Bonjardim, Nesperal e Palhais"
Sertã,Associação Cultural e Recreativa Rádio Condestável,    107.000000,50.000,18.721822436302,SERRA DE VISEU,CARVALHAL,CONDSTVL,84A6,S,Local,Sim,,39.871666667,-8.098333333,39.871666667,-8.098333333,Não,Castelo Branco,Sertã,Sertã
Sesimbra,"RÁDIO SANTIAGO - Cooperativa de Comunicação e Cultura de Sesimbra, C.R.L.",    103.900000,1000.000,39.5918340867651,INSTALACOES DA MARCONI - SANTANA,SERRA DA ACHADA,SANTIAGO,80BA,N,Local,Não,,38.461666667,-9.095833333,38.461666667,-9.095833333,Não,Setúbal,Sesimbra,Sesimbra (Castelo)
Setúbal,"Rádio Jornal de Setúbal, Lda.",     88.600000,2000.000,47.0828907919883,DEPÓSITO DE ÁGUA DO CARRASCAL - VISO,SETÚBAL,RJS,80CF,N,Local,Não,,38.523888889,-8.919722222,38.523888889,-8.919722222,Não,Setúbal,Setúbal,"S.Julião, N.S. da Anunciada e S.Maria da Graça"
Setúbal,"Rádio Renascença, Lda.",     89.900000,11999.966,73.688654167593,SETÚBAL,SERRA DA ARRÁBIDA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.4925,-8.961944444,38.4925,-8.961944444,Não,Setúbal,Setúbal,"S.Julião, N.S. da Anunciada e S.Maria da Graça"
Setúbal,"Rádio Renascença, Lda.",    105.800000,10000.000,70.4053433621716,SETÚBAL,SERRA DA ARRÁBIDA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.4925,-8.961944444,38.4925,-8.961944444,Não,Setúbal,Setúbal,"S.Julião, N.S. da Anunciada e S.Maria da Graça"
Setúbal,"R. A. Produções Radiofónicas, Lda.",     98.900000,2000.000,47.0828907919883,DEP. ÁGUA CARRASCAL-VISO,SETÚBAL,AZUL,80BC,N,Local,Não,,38.5225,-8.919444444,38.5225,-8.919444444,Não,Setúbal,Setúbal,"S.Julião, N.S. da Anunciada e S.Maria da Graça"
Sever do Vouga,"Rádio e Televisão de Portugal, S.A.",    106.700000,500.000,33.2926313568806,SERRA DO SALGUEIRO,ROCAS DO VOUGA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.782222222,-8.358055556,40.782222222,-8.3575,Sim,Aveiro,Sever do Vouga,Silva Escura e Dornelas
Sever do Vouga,"Rádio e Televisão de Portugal, S.A.",     95.200000,500.000,33.2926313568806,SERRA DO SALGUEIRO,ROCAS DO VOUGA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.779722222,-8.358333333,40.782222222,-8.3575,Sim,Aveiro,Sever do Vouga,Silva Escura e Dornelas
Sever do Vouga,"RCV - Rádio Central do Vouga, Lda.",     95.900000,1000.000,39.5918340867651,"DORNELAS, SEVER DO VOUGA",ARESTAL,TOP FM,80C8,N,Local,Não,,40.776944444,-8.356944444,40.776944444,-8.356944444,Não,Aveiro,Sever do Vouga,Rocas do Vouga
Sines,Associação Humanitária de Bombeiros Voluntários de Sines,     95.900000,400.000,31.4862267474058,MONTE CHAOS,SINES,R-SINES,80BF,N,Local,Não,,37.953055556,-8.836666667,37.953055556,-8.836666667,Não,Setúbal,Sines,Sines
Sintra,"Rádio e Televisão de Portugal, S.A.",     96.900000,200.000,26.4766552017592,JANAS - TORRE DA ESTAÇÃO DA PORTUGAL TELECOM,SINTRA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.829444444,-9.42,38.829444444,-9.42,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio e Televisão de Portugal, S.A.",     96.000000,200.000,26.4766552017592,JANAS - TORRE DA ESTAÇÃO DA PORTUGAL TELECOM,SINTRA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.829444444,-9.42,38.829444444,-9.42,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio e Televisão de Portugal, S.A.",    103.800000,200.000,26.4766552017592,JANAS - TORRE DA ESTAÇÃO DA PORTUGAL TELECOM,SINTRA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,38.829444444,-9.42,38.829444444,-9.42,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio Comercial, S.A.",     98.500000,299.999,29.3012111881995,STA EUFEMIA,SINTRA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,38.786944444,-9.387222222,38.786944444,-9.387222222,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"R.O. - Edições e Publicidade, Lda.",     88.000000,1000.000,39.5918340867651,STA EUFEMIA,SINTRA,MEGAFM-S,8011.000,N,Local,Não,,38.786388889,-9.385277778,38.786388889,-9.385277778,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio Renascença, Lda.",    105.000000,299.999,29.3012111881995,STA EUFEMIA,SINTRA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.786388889,-9.385277778,38.786388889,-9.385277778,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio Renascença, Lda.",    106.600000,299.999,29.3012111881995,STA EUFEMIA,SINTRA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.786388889,-9.385277778,38.786388889,-9.385277778,Não,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"RECORD FM - Sociedade de Meios Audiovisuais de Sintra, Lda.",    107.700000,1000.000,39.5918340867651,SANTA EUFEMIA,SERRA DE SINTRA,RECORD,8076.000,N,Local,Não,,38.786944444,-9.387222222,38.786388889,-9.385,Sim,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sintra,"Rádio Clube de Sintra, Lda.",     91.200000,1000.000,39.5918340867651,SANTA EUFEMIA,SINTRA,RCSINTRA,803A,N,Local,Não,,38.786388889,-9.386666667,38.786666667,-9.385,Sim,Lisboa,Sintra,"S.Maria e S.Miguel, S.Martinho, S.Pedro Penaferrim"
Sobral de Monte Agraço,"Sobral FM - Sociedade de Comunicação Unipessoal, Lda.",    106.400000,1000.000,39.5918340867651,FORTE ALQUEIDÃO,SANTO QUINTINO,CAPSAO,80A5,N,Local,Não,,38.987222222,-9.154166667,38.987222222,-9.154166667,Não,Lisboa,Sobral de Monte Agraço,Santo Quintino
Soure,"RPCS - Soure FM Radiodifusão e Publicidade, Unipessoal, Lda.",    104.400000,1000.000,39.5918340867651,ESTRELA,DEGRACIAS,RPSOURE,847E,S,Local,Não,,39.994722222,-8.547222222,39.994722222,-8.547222222,Não,Coimbra,Soure,Degracias e Pombalinho
Soure,"RPCS - Soure FM Radiodifusão e Publicidade, Unipessoal, Lda.",     95.700000,50.000,18.721822436302,PAINÇA,GRANJA DO ULMEIRO,RPSOURE,847E,S,Local,Sim,,40.159166667,-8.615277778,40.159166667,-8.615277778,Não,Coimbra,Soure,Granja do Ulmeiro
Tabuaço,"Douro FM, CRL",     91.400000,1000.000,39.5918340867651,TABUAÇO,CHAVÃES,DOURO FM,8019.000,N,Local,Não,,41.089444444,-7.574722222,41.089444444,-7.574722222,Sim,Viseu,Tabuaço,Chavães
Tarouca,"Rádio Riba Távora, C.R.L.",    100.800000,50.000,18.721822436302,MOIMENTA DA BEIRA,SANFINS,RRTAVORA,84C2,S,Local,Sim,,41.013888889,-7.728055556,41.013888889,-7.728055556,Não,Viseu,Tarouca,Mondim da Beira
Tavira,"Rádio Gilão Tavira Cooperativa de Radiodifusão, C.R.L.",     94.800000,2000.000,47.0828907919883,ALCARIA DO CUME,TAVIRA,GILAO FM,846E,S,Local,Não,,37.244444444,-7.738055556,37.244444444,-7.738055556,Sim,Faro,Tavira,Santa Catarina da Fonte do Bispo
Tavira,"Rádio Gilão Tavira Cooperativa de Radiodifusão, C.R.L.",     98.400000,50.000,18.721822436302,RUA ANTÓNIO PINHEIRO,TAVIRA,GILAO FM,846E,S,Local,Sim,,37.13,-7.648611111,37.129444444,-7.651111111,Sim,Faro,Tavira,Tavira (Santa Maria e Santiago)
Tavira,"Tavirádio - Cooperativa de Radiodifusão, C.R.L.",     96.900000,2000.000,47.0828907919883,ALCARIA DO CUME,TAVIRA,HORIZONT,845E,S,Local,Não,,37.244444444,-7.738055556,37.243333333,-7.738888889,Sim,Faro,Tavira,Santa Catarina da Fonte do Bispo
Tavira,"Tavirádio - Cooperativa de Radiodifusão, C.R.L.",    106.800000,50.000,18.721822436302,"RUA DOS PELAMES, 1º - TERMINAL RODOVIÁRIO",Tavira,HORIZONT,845E,S,Local,Sim,,37.127222222,-7.652222222,37.126944444,-7.6525,Sim,Faro,Tavira,Tavira (Santa Maria e Santiago)
Terras de Bouro,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    106.500000,10000.000,70.4053433621716,SERRA AMARELA,SERRA DO MURO,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.806388889,-8.203888889,41.813611111,-8.196111111,Sim,Braga,Terras de Bouro,Campo do Gerês
Tomar,Associação Cultural e Recreativa - Rádio Hertz,     98.000000,2000.000,47.0828907919883,ALTO DA SILVEIRA,SERRA,HERTZ FM,8412.000,S,Local,Não,,39.609722222,-8.313611111,39.609722222,-8.313611111,Não,Santarém,Tomar,Serra e Junceira
Tomar,Associação Cultural e Recreativa - Rádio Hertz,     92.000000,50.000,18.721822436302,SÃO JOÃO BAPTISTA,ALGARVIAS,HERTZ FM,8412.000,S,Local,Sim,,39.595,-8.421388889,39.595,-8.421388889,Não,Santarém,Tomar,São João Baptista e Santa Maria dos Olivais
Tondela,"Soncentro - Emissora Rádio, Lda.",     98.900000,1000.000,39.5918340867651,CABEÇO DA NEVE,Caramulo,RJCentro,807D,N,Local,Não,,40.553333333,-8.179166667,40.5525,-8.180277778,Sim,Viseu,Tondela,Guardão
Tondela,"Ao Tom Dela (Rádio), Lda.",     91.200000,500.000,33.2926313568806,CABEÇO DA NEVE,CARAMULO,E BEIRAS,8062.000,N,Local,Não,,40.553333333,-8.179166667,40.5525,-8.180277778,Sim,Viseu,Tondela,Guardão
Torre de Moncorvo,Associação Cultural de Torre de Moncorvo,     95.900000,500.000,33.2926313568806,FRAGA DO FACHO,SERRA DO REBOREDO,MONCORVO,80CD,N,Local,Não,,41.166111111,-7.038333333,41.165555556,-7.035833333,Sim,Bragança,Torre de Moncorvo,Torre de Moncorvo
Torres Novas,"Radiotorres, Lda.",    100.800000,1000.000,39.5918340867651,OLAIA - TORRES NOVAS,VALHELHAS,TNOVASFM,8018.000,N,Local,Não,,39.518055556,-8.511111111,39.518055556,-8.511111111,Não,Santarém,Torres Novas,Olaia e Paço
Torres Novas,"Rádio Clube de Ourém, Lda.",    103.700000,2000.000,47.0828907919883,,SERRA DE AIRE,CAN NOVA,8005.000,N,Local,Não,,39.536111111,-8.635,39.536111111,-8.635,Não,Santarém,Torres Novas,Pedrógão
Torres Vedras,"Narrativas e Ficções - Unipessoal, Lda",     97.800000,1000.000,39.5918340867651,ENGENHEIRO SERRA DA VILA,TORRES VEDRAS,RADIOEST,805D,N,Local,Não,,39.0625,-9.266388889,39.0625,-9.266388889,Não,Lisboa,Torres Vedras,"Santa Maria, São Pedro e Matacães"
Torres Vedras,"93.8 ON FM, Cooperativa de Responsabilidade Limitada.",     93.800000,1000.000,39.5918340867651,RUA CAMPO DOS MOINHOS - SERRA DA VILA,Torres Vedras,ON FM,806D,N,Local,Não,,39.064722222,-9.266666667,39.064722222,-9.266666667,Não,Lisboa,Torres Vedras,"Santa Maria, São Pedro e Matacães"
Trancoso,"Rádio João Bosco, Lda.",     92.100000,1000.000,39.5918340867651,SERRA DO PISCO,TRANCOSO,BOSCO.FM,80DC,N,Local,Não,,40.773611111,-7.4225,40.772222222,-7.423333333,Sim,Guarda,Trancoso,Trancoso (São Pedro e Santa Maria) e Souto Maior
Vagos,"Cooperativa Rádio Emissor Santo António de Vagos, C.R.L.",     88.800000,1000.000,39.5918340867651,BOCO,VAGOS,VAGOSFM,80F5,N,Local,Não,,40.538333333,-8.651666667,40.538333333,-8.651666667,Sim,Aveiro,Vagos,Sosa
Vale de Cambra,"R.C. - Empresa de Radiodifusão, S.A.",    101.000000,500.000,33.2926313568806,PICO DO GRALHEIRO,ARÕES,CIDAD VC,8029.000,N,Local,Não,,40.845277778,-8.280555556,40.845,-8.280277778,Sim,Aveiro,Vale de Cambra,Cepelos
Valença,"Rádio e Televisão de Portugal, S.A.",     98.200000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,42.018888889,-8.592777778,42.021666667,-8.5925,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Rádio e Televisão de Portugal, S.A.",     89.600000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,42.018888889,-8.592777778,42.021666667,-8.5925,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Rádio e Televisão de Portugal, S.A.",    104.000000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,42.018888889,-8.592777778,42.021666667,-8.5925,Sim,Viana do Castelo,Valença,Ganfei
Valença,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    105.700000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,42.022222222,-8.593333333,42.021111111,-8.5925,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Rádio Comercial, S.A.",     99.000000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,42.021388889,-8.593333333,42.021666667,-8.593611111,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Rádio Renascença, Lda.",     95.400000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,42.021111111,-8.593888889,42.021111111,-8.593888889,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Rádio Renascença, Lda.",    100.000000,10000.000,70.4053433621716,MONTE FARO,VALENÇA,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,42.021111111,-8.593888889,42.021111111,-8.593888889,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Radio Nova Contrasta - Comunicação, Lda.",     91.700000,500.000,33.2926313568806,MONTE FARO,VALENÇA,VALENCA,8092.000,N,Local,Não,,42.02,-8.591944444,42.015833333,-8.594444444,Sim,Viana do Castelo,Valença,Ganfei
Valença,"Ecos da Raia - Publicidade e Rádio, Lda.",     92.800000,500.000,33.2926313568806,MONTE FARO,VALENÇA,,,,Local,Não,,42.02,-8.591944444,42.015833333,-8.594444444,Sim,Viana do Castelo,Valença,Ganfei
Valongo,"MOVIFACE - Meios Publicitários, Lda.",    100.800000,1499.996,43.8155377411907,VALONGO,SERRA DE SANTA JUSTA,RMARIA P,8064.000,N,Local,Não,,41.175555556,-8.495833333,41.175833333,-8.496388889,Sim,Porto,Valongo,Valongo
Valongo,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    105.300000,49999.999,105.280543861682,MONTE DE SANTA JUSTA,VALONGO,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.174444444,-8.496111111,41.174722222,-8.495,Sim,Porto,Valongo,Valongo
Valongo,"Rádio Comercial, S.A.",     98.200000,100.000,22.2641244470679,SERRA DE SANTA JUSTA,Valongo,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,41.171666667,-8.493888889,41.171666667,-8.493888889,Sim,Porto,Valongo,Valongo
Valongo,"Rádio Renascença, Lda.",    106.200000,1000.000,39.5918340867651,Serra de Santa Justa,VALONGO,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.175555556,-8.495833333,41.175555556,-8.496388889,Sim,Porto,Valongo,Valongo
Valongo,"Rádio Renascença, Lda.",    104.500000,400.000,31.4862267474058,SERRA DE SANTA JUSTA,Valongo,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.175833333,-8.496388889,41.175555556,-8.496388889,Sim,Porto,Valongo,Valongo
Valongo,"SIRPA - Sociedade de Imprensa Rádio Paralelo, Lda.",    105.800000,1499.996,43.8155377411907,,SERRA DE SANTA JUSTA,M80VALNG,8082.000,N,Local,Não,,41.171944444,-8.495,41.171666667,-8.493888889,Sim,Porto,Valongo,Valongo
Valongo,"NOTIMAIA - Publicações e Comunicação, Unipessoal, Lda.",     94.300000,1499.996,43.8155377411907,VALONGO,SERRA DE SANTA JUSTA,LIDADOR,804A,N,Local,Não,,41.171666667,-8.493611111,41.171666667,-8.493888889,Sim,Porto,Valongo,Valongo
Valongo,"Rádio Metropolitana - Comunicação Social, Lda.",     90.600000,2000.000,47.0828907919883,SANTA JUSTA,SERRA DE SANTA JUSTA,MEGAFM-P,808E,N,Local,Não,,41.178611111,-8.496111111,41.177222222,-8.497222222,Sim,Porto,Valongo,Valongo
Velas,"Rádio e Televisão de Portugal, S.A.",     87.600000,1000.000,39.5918340867651,EN1,Macela,,,,Nacional,Não,Rede 1 de Cobertura Nacional,38.709166667,-28.200833333,38.709166667,-28.200833333,Não,Açores São Jorge,Velas,Velas (São Jorge)
Velas,"Rádio e Televisão de Portugal, S.A.",     93.200000,1000.000,39.5918340867651,EN1,Macela,,,,Nacional,Não,Rede 2 de Cobertura Nacional,38.709166667,-28.200833333,38.709166667,-28.200833333,Não,Açores São Jorge,Velas,Velas (São Jorge)
Velas,"Rádio Clube das Lages do Pico a Voz da Montanha, C.R.L.",     91.900000,50.000,18.721822436302,URZELINA,VELAS,MONTANHA,84DE,S,Local,Sim,,38.655277778,-28.153333333,38.654444444,-28.151666667,Não,Açores São Jorge,Velas,Urzelina (São Mateus)
Velas,"Cooperativa de Radiodifusão do Pico, C.R.L.",    107.700000,50.000,18.721822436302,TERREIRO DA MACELA,BEIRAS,R PICO,84F9,S,Local,Sim,,38.716388889,-28.202222222,38.709166667,-28.201111111,Não,Açores São Jorge,Velas,Velas (São Jorge)
